Unique id,channel_name,category,Sub-category,Issue_reported at,issue_responded,Survey_response_Date,Customer_City,Product_category,Item_price,connected_handling_time,Agent_name,Supervisor,Manager,Tenure Bucket,Agent Shift,CSAT Score
7e9ae164-6a8b-4521-a2d4-58f7c9fff13f,Outcall,Product Queries,Life Insurance,2023-01-08 11:13:00,2023-01-08 11:47:00,2023-08-01,1722,9,979.0,427.0,Richard Buchanan,Mason Gupta,Jennifer Nguyen,On Job Training,Morning,5
b07ec1b0-f376-43b6-86df-ec03da3b2e16,Outcall,Product Queries,Product Specific Information,2023-01-08 12:52:00,2023-01-08 12:54:00,2023-08-01,1722,9,979.0,427.0,Vicki Collins,Dylan Kim,Michael Lee,>90,Morning,5
200814dd-27c7-4149-ba2b-bd3af3092880,Inbound,Order Related,Installation/demo,2023-01-08 20:16:00,2023-01-08 20:38:00,2023-08-01,1722,9,979.0,427.0,Duane Norman,Jackson Park,William Kim,On Job Training,Evening,5
eb0d3e53-c1ca-42d3-8486-e42c8d622135,Inbound,Returns,Reverse Pickup Enquiry,2023-01-08 20:56:00,2023-01-08 21:16:00,2023-08-01,1722,9,979.0,427.0,Patrick Flores,Olivia Wang,John Smith,>90,Evening,5
ba903143-1e54-406c-b969-46c52f92e5df,Inbound,Cancellation,Not Needed,2023-01-08 10:30:00,2023-01-08 10:32:00,2023-08-01,1722,9,979.0,427.0,Christopher Sanchez,Austin Johnson,Michael Lee,0-30,Morning,5
1cfde5b9-6112-44fc-8f3b-892196137a62,Email,Returns,Fraudulent User,2023-01-08 15:13:00,2023-01-08 18:39:00,2023-08-01,1722,9,979.0,427.0,Desiree Newton,Emma Park,John Smith,0-30,Morning,5
11a3ffd8-1d6b-4806-b198-c60b5934c9bc,Outcall,Product Queries,Product Specific Information,2023-01-08 15:31:00,2023-01-08 23:52:00,2023-08-01,1722,9,979.0,427.0,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,5
372b51a5-fa19-4a31-a4b8-a21de117d75e,Inbound,Returns,Exchange / Replacement,2023-01-08 16:17:00,2023-01-08 16:23:00,2023-08-01,1722,9,979.0,427.0,Laura Smith,Evelyn Kimura,Jennifer Nguyen,On Job Training,Evening,5
6e4413db-4e16-42fc-ac92-2f402e3df03c,Inbound,Returns,Missing,2023-01-08 21:03:00,2023-01-08 21:07:00,2023-08-01,1722,9,979.0,427.0,David Smith,Nathan Patel,John Smith,>90,Split,5
b0a65350-64a5-4603-8b9a-a24a4a145d08,Inbound,Shopzilla Related,General Enquiry,2023-01-08 23:31:00,2023-01-08 23:36:00,2023-08-01,1722,9,979.0,427.0,Tabitha Ayala,Amelia Tanaka,Michael Lee,31-60,Evening,5
74a2cbbf-497e-4177-b30b-483f99effb13,Outcall,Returns,Return request,2023-02-08 18:14:00,2023-02-08 18:16:00,2023-08-02,1722,9,979.0,427.0,Carla Morgan,Nathan Patel,Emily Chen,0-30,Evening,4
4c28acf4-2ea4-4be8-b8f1-113e676fc8b7,Inbound,Order Related,Delayed,2023-02-08 10:44:00,2023-02-08 11:14:00,2023-08-02,1153,7,434.0,427.0,Stanley Hogan,Harper Wong,Emily Chen,>90,Split,1
e7ec72bb-65e9-4464-9c2b-8ce6b0e82a28,Inbound,Shopzilla Related,General Enquiry,2023-01-08 10:09:00,2023-01-08 10:12:00,2023-08-01,1722,9,979.0,427.0,Timothy Scott,Zoe Yamamoto,William Kim,On Job Training,Morning,4
68c596f2-4130-42f9-a140-b336261b1629,Inbound,Shopzilla Related,General Enquiry,2023-01-08 10:15:00,2023-01-08 11:21:00,2023-08-01,1722,9,979.0,427.0,Shannon Hicks,Aiden Patel,Olivia Tan,>90,Morning,4
6b966653-0900-4d58-8b38-c17cfbdaf000,Inbound,Returns,Reverse Pickup Enquiry,2023-02-08 11:26:00,2023-02-08 11:44:00,2023-08-02,1722,9,979.0,427.0,Mark Wilson,Scarlett Chen,John Smith,0-30,Morning,5
130dfefe-1d77-47f9-b759-546f24b6b909,Inbound,Returns,Missing,2023-02-08 19:56:00,2023-02-08 20:06:00,2023-08-02,1722,9,979.0,427.0,Mark Black,Sophia Sato,John Smith,>90,Afternoon,5
4cc4df74-fcd3-413a-920d-ca3ad2dd0904,Inbound,Returns,Service Centres Related,2023-01-08 09:01:00,2023-01-08 09:03:00,2023-08-01,1396,2,1299.0,427.0,Amy Mendez,Sophia Sato,John Smith,0-30,Morning,5
